BUILDING_NAME,ROOM_NUMBER,ROOM_CAPACITY,ACADEMIC_GROUP_CODE,ACADEMIC_ORGANIZATION_CODE,ACADEMIC_CARRIER_CODE,CAMPUS_CODE#$, 2
af517546ad5e7f489cefa84ee2e43e0d,d08b26c55b6e8714e551be329f373c2c,35,BUSN,B-ACCT,UGRD,"BLDR"#$, 6
af517546ad5e7f489cefa84ee2e43e0d,a594d5e9e7640fff198491046dea1ca1,40,BUSN,B-ACCT,UGRD,"BLDR"#$, 4
af517546ad5e7f489cefa84ee2e43e0d,39db53e2a487c4953992b5b28fbf0fe1,40,BUSN,B-ACCT,UGRD,"BLDR"#$, 9
af517546ad5e7f489cefa84ee2e43e0d,53042620582ce02db420625692365f5c,40,BUSN,B-ACCT,UGRD,"BLDR"#$, 8
af517546ad5e7f489cefa84ee2e43e0d,39db53e2a487c4953992b5b28fbf0fe1,42,BUSN,B-ACCT,UGRD,"BLDR"#$, 3
af517546ad5e7f489cefa84ee2e43e0d,53042620582ce02db420625692365f5c,40,BUSN,B-ACCT,GRAD,"BLDR"#$, 7
6e39515d4c535859835ca3848661311c,eba21e6609acfe0a10af27e1133b4912,30,ARSC,B-ANTH,UGRD,"BLDR"#$, 4
6e39515d4c535859835ca3848661311c,28f9b959d833c9ead88c2303bd3a81a4,30,ARSC,B-ANTH,UGRD,"BLDR"#$, 1
2b897a91acac44b276f3d614d6461c75,d93ac37bbece66ac4b842940bb343ef4,30,ARSC,B-ANTH,UGRD,"BLDR"#$, 8
6e39515d4c535859835ca3848661311c,eba21e6609acfe0a10af27e1133b4912,40,ARSC,B-ANTH,UGRD,"BLDR"#$, 3
6e39515d4c535859835ca3848661311c,39db53e2a487c4953992b5b28fbf0fe1,50,ARSC,B-ANTH,UGRD,"BLDR"#$, 1
6e39515d4c535859835ca3848661311c,39db53e2a487c4953992b5b28fbf0fe1,45,ARSC,B-ANTH,UGRD,"BLDR"#$, 9
b1377fa978880aeb2265a1d6276b5b67,4316544eb6945ecdf6d18b82df5679b7,35,ARSC,B-ANTH,UGRD,"CEPS"#$, 4
6e39515d4c535859835ca3848661311c,f04ce1a3dc52683689d0dfef4732732f,16,ARSC,B-ANTH,UGRD,"BLDR"#$, 10
3c28af74ad7ad27d6ce78f738cc0859b,a2fd23f13441c5281fc047fdc88e7042,30,ARSC,B-ANTH,UGRD,"BLDR"#$, 5
c83d5f85c7408463699185856a1f421b,792008721a3998d707c8d9c49c38f8fb,25,ARSC,B-ANTH,UGRD,"BLDR"#$, 7
